tick,z,x,y,speed,yvel,xvel,side_push,fuel,oxy,on_ground,jumping,on_ice,on_sticky,over_hole,tile,end_state,expl,end_frames,ap_delta,ap_light,edge_dist,fly,sfx
1,196683,32676,11277,75,1037,-29,0,30000,29992,0,1,0,0,0,10,0,0,0,0,0,0,0,0
2,196833,32580,12199,150,922,-29,0,30000,29984,0,1,0,0,0,10,0,0,0,0,0,0,0,0
3,197058,32479,13006,225,807,-29,0,30000,29976,0,1,0,0,0,10,0,0,0,0,0,0,0,0
4,197358,32374,13698,300,692,-29,0,30000,29968,0,1,0,0,0,10,0,0,0,0,0,0,0,0
5,197733,32265,14275,375,577,-29,0,30000,29960,0,1,0,0,0,10,0,0,0,0,0,0,0,0
6,198183,32152,14737,450,462,-29,0,29999,29952,0,1,0,0,0,10,0,0,0,0,0,0,0,0
7,198708,32034,15084,525,347,-29,0,29998,29944,0,1,0,0,0,10,0,0,0,0,0,0,0,0
8,199308,31912,15316,600,232,-29,0,29997,29936,0,1,0,0,0,10,0,0,0,0,0,0,0,0
9,199983,31786,15433,675,117,-29,0,29996,29928,0,1,0,0,0,10,0,0,0,0,0,0,0,0
10,200733,31656,15435,750,2,-29,0,29995,29920,0,1,0,0,0,10,0,0,0,0,0,0,0,0
11,201558,31521,15322,825,-113,-29,0,29994,29912,0,1,0,0,0,10,0,0,0,0,0,0,0,0
12,202458,31382,15094,900,-228,-29,0,29992,29904,0,1,0,0,0,10,0,0,0,0,0,0,0,0
13,203433,31239,14751,975,-343,-29,0,29990,29896,0,1,0,0,0,10,0,0,0,0,0,0,0,0
14,204483,31092,14293,1050,-458,-29,0,29988,29888,0,1,0,0,0,10,0,0,0,0,0,0,0,0
15,205608,30940,13720,1125,-573,-29,0,29986,29880,0,1,0,0,0,10,0,0,0,0,0,0,0,0
16,206808,30784,13032,1200,-688,-29,0,29984,29872,0,1,0,0,0,10,0,0,0,0,0,0,0,0
17,208083,30624,12229,1275,-803,-29,0,29982,29864,0,1,0,0,0,10,0,0,0,0,0,0,0,0
18,209433,30460,11311,1350,-918,-29,0,29979,29856,0,1,0,0,0,10,0,0,0,0,0,0,0,0
19,210858,30291,10278,1425,-1033,-29,0,29976,29848,0,1,0,0,0,10,0,0,0,0,0,0,0,0
20,212358,30118,10240,1500,-1148,-29,0,29973,29840,1,0,0,0,0,10,0,0,0,0,0,32767,0,0
21,214236,30118,10699,1878,459,0,0,29969,29832,0,0,0,0,0,10,0,0,0,0,0,32767,0,2
22,216189,30118,11043,1953,344,0,0,29965,29824,0,0,0,0,0,10,0,0,0,0,0,32767,0,0
23,218217,30118,11272,2028,229,0,0,29961,29816,0,0,0,0,0,10,0,0,0,0,0,32767,0,0
24,220320,30118,11386,2103,114,0,0,29957,29808,0,0,0,0,0,10,0,0,0,0,0,32767,0,0
25,222498,30118,11385,2178,-1,0,0,29953,29800,0,0,0,0,0,10,0,0,0,0,0,32767,0,0
26,224751,30118,11269,2253,-116,0,0,29948,29792,0,0,0,0,0,10,0,0,0,0,0,32767,0,0
27,227079,30118,11038,2328,-231,0,0,29943,29784,0,0,0,0,0,10,0,0,0,0,0,32767,0,0
28,229482,30118,10692,2403,-346,0,0,29938,29776,0,0,0,0,0,10,0,0,0,0,0,32767,0,0
29,231960,30118,10240,2478,-461,0,0,29933,29768,1,0,0,0,0,10,0,0,0,0,0,32767,0,0
30,234816,30118,10355,2856,115,0,0,29927,29760,0,0,0,0,0,10,0,0,0,0,0,32767,0,2
31,237747,30118,10355,2931,0,0,0,29921,29752,0,0,0,0,0,10,0,0,0,0,0,32767,0,0
32,240753,30118,10240,3006,-115,0,0,29915,29744,0,0,0,0,0,10,0,0,0,0,0,32767,0,0
33,243834,30118,10240,3081,-230,0,0,29908,29736,1,0,0,0,0,10,0,0,0,0,0,32767,0,0
34,247293,30118,10240,3459,-115,0,0,29901,29728,1,0,0,0,0,10,0,0,0,0,0,32767,0,0
35,251130,30118,10240,3837,-115,0,0,29893,29720,1,0,0,0,0,10,0,0,0,0,0,32767,0,0
36,255345,30118,10240,4215,-115,0,0,29884,29712,1,0,0,0,0,10,0,0,0,0,0,32767,0,0
37,259938,30118,10240,4593,-115,0,0,29874,29704,1,0,0,0,0,10,0,0,0,0,0,32767,0,0
38,264909,30118,10240,4971,-115,0,0,29863,29696,1,0,0,0,0,10,0,0,0,0,0,32767,0,0
39,270258,30118,10240,5349,-115,0,0,29851,29688,1,0,0,0,0,10,0,0,0,0,0,32767,0,0
40,275985,30118,10240,5727,-115,0,0,29838,29680,1,0,0,0,0,10,0,0,0,0,0,32767,0,0
41,282090,30118,10240,6105,-115,0,0,29825,29672,1,0,0,0,0,10,0,0,0,0,0,32767,0,0
42,288573,30118,10240,6483,-115,0,0,29811,29664,1,0,0,0,0,10,0,0,0,0,0,32767,0,0
43,295434,30118,10240,6861,-115,0,0,29796,29656,1,0,0,0,0,10,0,0,0,0,0,32767,0,0
44,302673,30118,10240,7239,-115,0,0,29780,29648,1,0,0,0,0,10,0,0,0,0,0,32767,0,0
45,310290,30118,10240,7617,-115,0,0,29763,29640,1,0,0,0,0,10,0,0,0,0,0,32767,0,0
46,318285,30118,10240,7995,-115,0,0,29745,29632,1,0,0,0,0,10,0,0,0,0,0,32767,0,0
47,326658,30118,10240,8373,-115,0,0,29726,29624,1,0,0,0,0,10,0,0,0,0,0,32767,0,0
48,335334,30697,11277,8676,1037,29,0,29707,29616,0,1,0,0,0,10,0,0,0,0,0,32767,0,0
49,344010,31276,12199,8676,922,29,0,29688,29608,0,1,0,0,0,3,0,0,0,0,0,32767,0,0
50,352686,31855,13006,8676,807,29,0,29669,29600,0,1,0,0,0,3,0,0,0,0,0,32767,0,0
51,361362,32434,13698,8676,692,29,0,29650,29592,0,1,0,0,0,3,0,0,0,0,0,32767,0,0
52,370038,33013,14275,8676,577,29,0,29631,29584,0,1,0,0,0,3,0,0,0,0,0,32767,0,0
53,378714,33632,14737,8676,462,31,0,29612,29576,0,1,0,0,0,3,0,0,0,0,1,32767,0,0
54,387390,34251,15084,8676,347,31,0,29593,29568,0,1,0,0,0,3,0,0,0,0,1,32767,0,0
55,396066,34870,15316,8676,232,31,0,29574,29560,0,1,0,0,0,3,0,0,0,0,1,32767,0,0
56,404742,35489,15433,8676,117,31,0,29555,29552,0,1,0,0,0,10,0,0,0,0,1,32767,0,0
57,413418,36108,15435,8676,2,31,0,29536,29544,0,1,0,0,0,10,0,0,0,0,1,32767,0,0
58,422094,36727,15322,8676,-113,31,0,29517,29536,0,1,0,0,1,0,0,0,0,0,1,32767,0,0
59,430770,37346,15094,8676,-228,31,0,29498,29528,0,1,0,0,1,0,0,0,0,0,1,32767,0,0
60,439446,37965,14751,8676,-343,31,0,29479,29520,0,1,0,0,1,0,0,0,0,0,1,32767,0,0
61,448122,38584,14293,8676,-458,31,0,29460,29512,0,1,0,0,1,0,0,0,0,0,1,32767,0,0
62,456798,39203,13720,8676,-573,31,0,29441,29504,0,1,0,0,1,0,0,0,0,0,1,32767,0,0
63,465474,39822,13032,8676,-688,31,0,29422,29496,0,1,0,0,1,0,0,0,0,0,1,32767,0,0
64,474150,40441,12229,8676,-803,31,0,29403,29488,0,1,0,0,1,0,0,0,0,0,1,32767,0,0
65,482826,41060,11311,8676,-918,31,0,29384,29480,0,1,0,0,1,0,0,0,0,0,1,32767,0,0
66,491502,41679,10278,8676,-1033,31,0,29365,29472,0,1,0,0,1,0,0,0,0,0,1,32767,0,0
67,500178,42298,10240,8676,-1148,31,0,29346,29464,1,0,0,0,0,4,0,0,0,0,0,32767,0,0
68,508854,42298,10699,8676,459,0,0,29327,29456,0,0,0,0,0,4,0,0,0,0,0,32767,0,2
69,517530,42298,11043,8676,344,0,0,29308,29448,0,0,0,0,0,4,0,0,0,0,0,32767,0,0
70,526281,42882,11272,8751,229,29,0,29289,29440,0,0,0,0,0,4,0,0,0,0,0,32767,0,0
71,535107,43470,11386,8826,114,29,0,29269,29432,0,0,0,0,1,0,0,0,0,0,0,32767,0,0
